date,group,requested_ticker,requested_label,ticker,name,uid,figi,history_id_used,history_id_type,daily_last_price
2012-03-05,bonds,RGBI,MOEX Government Bond Index,RGBI,Индекс Гособлигаций,fceffb27-3c51-4101-834c-d28c98ada458,BBG000V0SJ39,fceffb27-3c51-4101-834c-d28c98ada458,uid,131.88
2012-03-06,bonds,RGBI,MOEX Government Bond Index,RGBI,Индекс Гособлигаций,fceffb27-3c51-4101-834c-d28c98ada458,BBG000V0SJ39,fceffb27-3c51-4101-834c-d28c98ada458,uid,131.77
2012-03-07,bonds,RGBI,MOEX Government Bond Index,RGBI,Индекс Гособлигаций,fceffb27-3c51-4101-834c-d28c98ada458,BBG000V0SJ39,fceffb27-3c51-4101-834c-d28c98ada458,uid,131.64
2012-03-11,bonds,RGBI,MOEX Government Bond Index,RGBI,Индекс Гособлигаций,fceffb27-3c51-4101-834c-d28c98ada458,BBG000V0SJ39,fceffb27-3c51-4101-834c-d28c98ada458,uid,131.71
2012-03-12,bonds,RGBI,MOEX Government Bond Index,RGBI,Индекс Гособлигаций,fceffb27-3c51-4101-834c-d28c98ada458,BBG000V0SJ39,fceffb27-3c51-4101-834c-d28c98ada458,uid,131.82
2012-03-13,bonds,RGBI,MOEX Government Bond Index,RGBI,Индекс Гособлигаций,fceffb27-3c51-4101-834c-d28c98ada458,BBG000V0SJ39,fceffb27-3c51-4101-834c-d28c98ada458,uid,132.01
2012-03-14,bonds,RGBI,MOEX Government Bond Index,RGBI,Индекс Гособлигаций,fceffb27-3c51-4101-834c-d28c98ada458,BBG000V0SJ39,fceffb27-3c51-4101-834c-d28c98ada458,uid,132.2
2012-03-15,bonds,RGBI,MOEX Government Bond Index,RGBI,Индекс Гособлигаций,fceffb27-3c51-4101-834c-d28c98ada458,BBG000V0SJ39,fceffb27-3c51-4101-834c-d28c98ada458,uid,132.18
2012-03-16,bonds,RGBI,MOEX Government Bond Index,RGBI,Индекс Гособлигаций,fceffb27-3c51-4101-834c-d28c98ada458,BBG000V0SJ39,fceffb27-3c51-4101-834c-d28c98ada458,uid,132.26
2012-03-19,bonds,RGBI,MOEX Government Bond Index,RGBI,Индекс Гособлигаций,fceffb27-3c51-4101-834c-d28c98ada458,BBG000V0SJ39,fceffb27-3c51-4101-834c-d28c98ada458,uid,132.06
2012-03-20,bonds,RGBI,MOEX Government Bond Index,RGBI,Индекс Гособлигаций,fceffb27-3c51-4101-834c-d28c98ada458,BBG000V0SJ39,fceffb27-3c51-4101-834c-d28c98ada458,uid,132.0
2012-03-21,bonds,RGBI,MOEX Government Bond Index,RGBI,Индекс Гособлигаций,fceffb27-3c51-4101-834c-d28c98ada458,BBG000V0SJ39,fceffb27-3c51-4101-834c-d28c98ada458,uid,131.95
2012-03-22,bonds,RGBI,MOEX Government Bond Index,RGBI,Индекс Гособлигаций,fceffb27-3c51-4101-834c-d28c98ada458,BBG000V0SJ39,fceffb27-3c51-4101-834c-d28c98ada458,uid,131.88
2012-03-23,bonds,RGBI,MOEX Government Bond Index,RGBI,Индекс Гособлигаций,fceffb27-3c51-4101-834c-d28c98ada458,BBG000V0SJ39,fceffb27-3c51-4101-834c-d28c98ada458,uid,131.85
2012-03-26,bonds,RGBI,MOEX Government Bond Index,RGBI,Индекс Гособлигаций,fceffb27-3c51-4101-834c-d28c98ada458,BBG000V0SJ39,fceffb27-3c51-4101-834c-d28c98ada458,uid,131.92
2012-03-27,bonds,RGBI,MOEX Government Bond Index,RGBI,Индекс Гособлигаций,fceffb27-3c51-4101-834c-d28c98ada458,BBG000V0SJ39,fceffb27-3c51-4101-834c-d28c98ada458,uid,131.94
